Human Prompt,Cypher Query
"Show the signature of 'create' in 'ObjectFactory' interface.","MATCH (i:Interface {name: 'ObjectFactory'})-[:HAS_METHOD]->(m:Method {name: 'create'}) RETURN m.signature;"
"Which classes are never instantiated directly?","MATCH (c:Class) WHERE NOT ()-[:CALLS]->(m:Method {name: c.name}) RETURN c.name;"
"Find all methods whose name starts with 'is' or 'has'.","MATCH (m:Method) WHERE m.name STARTS WITH 'is' OR m.name STARTS WITH 'has' RETURN m.name;"
"Get the file path for the 'Constants' interface.","MATCH (i:Interface {name: 'Constants'}) RETURN i.file_path;"
"What does the 'getDefault' method call?","MATCH (m:Method {name: 'getDefault'})-[:CALLS]->(callee) RETURN callee.name;"
"Which methods are called by 'loadConfig'?","MATCH (m:Method {name: 'loadConfig'})-[:CALLS]->(callee) RETURN callee.name;"
"Find all methods in 'ConfigLoader'.","MATCH (c:Class {name: 'ConfigLoader'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'getProperty'?","MATCH (caller)-[:CALLS]->(m:Method {name: 'getProperty'}) RETURN caller.name;"
"List the fields for 'AppConfig' class.","MATCH (c:Class {name: 'AppConfig'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all enums in the 'config' package.","MATCH (p:Package {name: 'config'})-[:CONTAINS]->(e:Enum) RETURN e.name;"
"Get the code for 'toString' method in 'AppConfig'.","MATCH (c:Class {name: 'AppConfig'})-[:HAS_METHOD]->(m:Method {name: 'toString'}) RETURN m.code;"
"Which classes in 'com.myapp.service' are not interfaces?","MATCH (p:Package {name: 'com.myapp.service'})-[:CONTAINS]->(t) WHERE t:Class RETURN t.name;"
"Show me all methods that return 'String'.","MATCH (m:Method) WHERE m.signature ENDS WITH 'String' RETURN m.signature;"
"What is the parent class of 'BaseService'?","MATCH (c:Class {name: 'BaseService'}) RETURN c.extension;"
"Find method calls within the same class.","MATCH (c:Class)-[:HAS_METHOD]->(m1:Method), (c)-[:HAS_METHOD]->(m2:Method) WHERE (m1)-[:CALLS]->(m2) RETURN c.name, m1.name, m2.name;"
"List all methods in the 'StreamProcessor' class.","MATCH (c:Class {name: 'StreamProcessor'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Which other methods call the 'process' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'process'}) RETURN caller.signature;"
"What are the fields in the 'DataStream' class?","MATCH (c:Class {name: 'DataStream'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.stream' package.","MATCH (p:Package {name: 'com.myapp.stream'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the method signature for 'map' in 'StreamProcessor'.","MATCH (c:Class {name: 'StreamProcessor'})-[:HAS_METHOD]->(m:Method {name: 'map'}) RETURN m.signature;"
"What methods does 'filter' call?","MATCH (m:Method {name: 'filter'})-[:CALLS]->(callee) RETURN callee.name, callee.signature;"
"Which classes implement the 'Processor' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'Processor'}) RETURN c.name;"
"Find all methods that return a 'Stream'.","MATCH (m:Method) WHERE m.signature CONTAINS 'Stream<' RETURN m.signature;"
"How many public methods are there?","MATCH (m:Method) WHERE m.signature STARTS WITH 'public' RETURN count(m);"
"Show me all the methods in the 'CacheManager' class.","MATCH (c:Class {name: 'CacheManager'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'getCache' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'getCache'}) RETURN caller.signature;"
"List all fields in the 'Cache' class.","MATCH (c:Class {name: 'Cache'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.cache' package.","MATCH (p:Package {name: 'com.myapp.cache'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'put' method of 'Cache'.","MATCH (:Class {name: 'Cache'})-[:HAS_METHOD]->(m:Method {name: 'put'}) RETURN m.code;"
"Which classes import 'com.google.common.cache.Cache'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name: 'com.google.common.cache.Cache'}) RETURN c.name;"
"Find all methods that have 'cache' in their name.","MATCH (m:Method) WHERE m.name CONTAINS 'cache' RETURN m.name;"
"List all classes and their direct method count.","MATCH (c:Class) OPTIONAL MATCH (c)-[:HAS_METHOD]->(m) RETURN c.name, count(m) as method_count;"
"Show me the path of the 'ApplicationTests' class.","MATCH (c:Class {name: 'ApplicationTests'}) RETURN c.file_path;"
"List all methods annotated with '@Test'.","MATCH (m:Method) WHERE m.code CONTAINS '@Test' RETURN m.signature;"
"Find the class with the name 'TestUtils'.","MATCH (c:Class {name: 'TestUtils'}) RETURN c.name, c.package;"
"What does the 'assertAndThrow' method call?","MATCH (m:Method {name: 'assertAndThrow'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'setup'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name: 'setup'}) RETURN caller.name;"
"Get all fields for the 'MockData' class.","MATCH (c:Class {name: 'MockData'})-[:HAS_FIELD]->(f) RETURN f.name;"
"What interfaces are in the 'test.util' package?","MATCH (p:Package {name: 'test.util'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Show the signature of 'runTest' in 'TestCase' interface.","MATCH (i:Interface {name: 'TestCase'})-[:HAS_METHOD]->(m:Method {name: 'runTest'}) RETURN m.signature;"
"Which classes are test classes (name ends with 'Test')?","MATCH (c:Class) WHERE c.name ENDS WITH 'Test' RETURN c.name;"
"Find all methods whose name starts with 'test'.","MATCH (m:Method) WHERE m.name STARTS WITH 'test' RETURN m.name;"
"Get the file path for the 'UserRepoTest' class.","MATCH (c:Class {name: 'UserRepoTest'}) RETURN c.file_path;"
"What does the 'testSaveUser' method call?","MATCH (m:Method {name: 'testSaveUser'})-[:CALLS]->(callee) RETURN callee.name;"
"Which methods are called by 'testFindUser_NotFound'?","MATCH (m:Method {name: 'testFindUser_NotFound'})-[:CALLS]->(callee) RETURN callee.name;"
"Find all methods in 'PaymentServiceTest'.","MATCH (c:Class {name: 'PaymentServiceTest'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'mockPayment'?","MATCH (caller)-[:CALLS]->(m:Method {name: 'mockPayment'}) RETURN caller.name;"
"List the fields for 'TestConstants' class.","MATCH (c:Class {name: 'TestConstants'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all enums in the 'test' package.","MATCH (p:Package {name: 'test'})-[:CONTAINS]->(e:Enum) RETURN e.name;"
"Get the code for 'beforeEach' method.","MATCH (m:Method {name: 'beforeEach'}) RETURN m.code;"
"Which classes in 'com.myapp.test' have a 'setup' method?","MATCH (p:Package {name: 'com.myapp.test'})-[:CONTAINS]->(c:Class)-[:HAS_METHOD]->(m:Method {name: 'setup'}) RETURN c.name;"
"Show me all methods that return 'void' in test classes.","MATCH (c:Class)-[:HAS_METHOD]->(m) WHERE c.name ENDS WITH 'Test' AND m.signature CONTAINS ' void ' RETURN c.name, m.signature;"
"What is the parent class of 'BaseTest'?","MATCH (c:Class {name: 'BaseTest'}) RETURN c.extension;"
"Find test methods that don't call any other methods.","MATCH (m:Method) WHERE m.name STARTS WITH 'test' AND NOT (m)-[:CALLS]->() RETURN m.name;"
"List all methods in the 'ApiClient' class.","MATCH (c:Class {name: 'ApiClient'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Which other methods call the 'get' method of 'ApiClient'?","MATCH (caller:Method)-[:CALLS]->(callee:Method {name: 'get'})<-[:HAS_METHOD]-(:Class {name: 'ApiClient'}) RETURN caller.signature;"
"What are the fields in the 'ApiResponse' class?","MATCH (c:Class {name: 'ApiResponse'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.client' package.","MATCH (p:Package {name: 'com.myapp.client'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the method signature for 'post' in 'ApiClient'.","MATCH (c:Class {name: 'ApiClient'})-[:HAS_METHOD]->(m:Method {name: 'post'}) RETURN m.signature;"
"What methods does 'executeRequest' call?","MATCH (m:Method {name: 'executeRequest'})-[:CALLS]->(callee) RETURN callee.name, callee.signature;"
"Which classes implement the 'Client' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'Client'}) RETURN c.name;"
"Find all methods that return an 'Optional'.","MATCH (m:Method) WHERE m.signature CONTAINS 'Optional<' RETURN m.signature;"
"How many private fields are there in total?","MATCH (c:Class)-[:HAS_FIELD]->(f:Field) WHERE f.signature CONTAINS 'private' RETURN count(f);"
"Show me all the methods in the 'HtmlGenerator' class.","MATCH (c:Class {name: 'HtmlGenerator'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'generate' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'generate'}) RETURN caller.signature;"
"List all fields in the 'HtmlElement' class.","MATCH (c:Class {name: 'HtmlElement'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.view' package.","MATCH (p:Package {name: 'com.myapp.view'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'addElement' method.","MATCH (m:Method {name: 'addElement'}) RETURN m.code;"
"Which classes import 'javax.swing.JFrame'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name: 'javax.swing.JFrame'}) RETURN c.name;"
"Find all methods that have a variable named 'buffer'.","MATCH (m:Method) WHERE m.code CONTAINS 'buffer' RETURN m.name, m.signature;"
"Find classes that are both a service and a component.","MATCH (c:Class) WHERE c.name ENDS WITH 'Service' AND c.code CONTAINS '@Component' RETURN c.name;"
"Show me the path of the 'README.md' file.","MATCH (f:File {path: 'README.md'}) RETURN f.path;"
"List all methods that are 'native'.","MATCH (m:Method) WHERE m.signature CONTAINS 'native' RETURN m.signature;"
"Find the class with the name 'PluginManager'.","MATCH (c:Class {name: 'PluginManager'}) RETURN c.name, c.package;"
"What does the 'loadPlugins' method call?","MATCH (m:Method {name: 'loadPlugins'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'getPlugin'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name: 'getPlugin'}) RETURN caller.name;"
"Get all fields for the 'PluginInfo' class.","MATCH (c:Class {name: 'PluginInfo'})-[:HAS_FIELD]->(f) RETURN f.name;"
"What interfaces are in the 'plugin' package?","MATCH (p:Package {name: 'plugin'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Show the signature of 'execute' in 'Plugin' interface.","MATCH (i:Interface {name: 'Plugin'})-[:HAS_METHOD]->(m:Method {name: 'execute'}) RETURN m.signature;"
"Which classes are abstract?","MATCH (c:Class) WHERE c.signature CONTAINS 'abstract class' RETURN c.name;"
"Find all methods whose name starts with 'set'.","MATCH (m:Method) WHERE m.name STARTS WITH 'set' RETURN m.name;"
"Get the file path for the 'I18n' class.","MATCH (c:Class {name: 'I18n'}) RETURN c.file_path;"
"What does the 'translate' method call?","MATCH (m:Method {name: 'translate'})-[:CALLS]->(callee) RETURN callee.name;"
"Which methods are called by 'getBundle'?","MATCH (m:Method {name: 'getBundle'})-[:CALLS]->(callee) RETURN callee.name;"
"Find all methods in 'LocaleResolver'.","MATCH (c:Class {name: 'LocaleResolver'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'resolveLocale'?","MATCH (caller)-[:CALLS]->(m:Method {name: 'resolveLocale'}) RETURN caller.name;"
"List the fields for 'LanguagePack' class.","MATCH (c:Class {name: 'LanguagePack'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all interfaces in the 'i18n' package.","MATCH (p:Package {name: 'i18n'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Get the code for 'getString' method.","MATCH (m:Method {name: 'getString'}) RETURN m.code;"
"Which classes in 'com.myapp.i18n' extends another class?","MATCH (p:Package {name: 'com.myapp.i18n'})-[:CONTAINS]->(c:Class) WHERE c.extension IS NOT NULL RETURN c.name, c.extension;"
"Show me all methods that return an 'Array'.","MATCH (m:Method) WHERE m.signature CONTAINS '[]' RETURN m.signature;"
"What is the parent class of 'BaseDao'?","MATCH (c:Class {name: 'BaseDao'}) RETURN c.extension;"
"Find all data access methods.","MATCH (m:Method) WHERE m.name STARTS WITH 'find' OR m.name STARTS WITH 'get' OR m.name STARTS WITH 'save' OR m.name STARTS WITH 'delete' RETURN m.signature;"
"List all methods in the 'UserDao' class.","MATCH (c:Class {name: 'UserDao'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Which other methods call the 'findUserByName' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'findUserByName'}) RETURN caller.signature;"
"What are the fields in the 'UserEntity' class?","MATCH (c:Class {name: 'UserEntity'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.dao' package.","MATCH (p:Package {name: 'com.myapp.dao'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the method signature for 'updateUser' in 'UserDao'.","MATCH (c:Class {name: 'UserDao'})-[:HAS_METHOD]->(m:Method {name: 'updateUser'}) RETURN m.signature;"
"What methods does 'deleteUser' call?","MATCH (m:Method {name: 'deleteUser'})-[:CALLS]->(callee) RETURN callee.name, callee.signature;"
"Which classes implement the 'DataAccessObject' interface?","MATCH (c:Class)-[:IMPLEMENTS_INTERFACE]->(i:Interface {name: 'DataAccessObject'}) RETURN c.name;"
"Find all methods that return a 'Long'.","MATCH (m:Method) WHERE m.signature CONTAINS ' Long ' RETURN m.signature;"
"How many methods in 'UserService' are public?","MATCH (:Class {name: 'UserService'})-[:HAS_METHOD]->(m) WHERE m.signature STARTS WITH 'public' RETURN count(m);"
"Show me all the methods in the 'MigrationService' class.","MATCH (c:Class {name: 'MigrationService'})-[:HAS_METHOD]->(m) RETURN m.signature;"
"Who calls the 'runMigrations' method?","MATCH (caller:Method)-[:CALLS]->(:Method {name: 'runMigrations'}) RETURN caller.signature;"
"List all fields in the 'SchemaVersion' class.","MATCH (c:Class {name: 'SchemaVersion'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all classes in the 'com.myapp.db' package.","MATCH (p:Package {name: 'com.myapp.db'})-[:CONTAINS]->(c:Class) RETURN c.name;"
"Get the code for the 'migrate' method.","MATCH (m:Method {name: 'migrate'}) RETURN m.code;"
"Which classes import 'java.sql.Connection'?","MATCH (c:Class)-[:IMPORTS]->(i:Class {name: 'java.sql.Connection'}) RETURN c.name;"
"Find all methods that have a 'Connection' parameter.","MATCH (m:Method) WHERE m.signature CONTAINS '(Connection' RETURN m.name, m.signature;"
"Find the class with the most outgoing method calls.","MATCH (c:Class)-[:HAS_METHOD]->(m)-[r:CALLS]->() WITH c, count(r) as callCount RETURN c.name, callCount ORDER BY callCount DESC LIMIT 1;"
"Show me the path of the 'Dockerfile' file.","MATCH (f:File {path: 'Dockerfile'}) RETURN f.path;"
"List all methods that are 'strictfp'.","MATCH (m:Method) WHERE m.signature CONTAINS 'strictfp' RETURN m.signature;"
"Find the class with the name 'Endpoint'.","MATCH (c:Class {name: 'Endpoint'}) RETURN c.name, c.package;"
"What does the 'register' method call?","MATCH (m:Method {name: 'register'})-[:CALLS]->(callee) RETURN callee.name;"
"Who calls 'unregister'?","MATCH (caller:Method)-[:CALLS]->(m:Method {name: 'unregister'}) RETURN caller.name;"
"Get all fields for the 'EndpointConfig' class.","MATCH (c:Class {name: 'EndpointConfig'})-[:HAS_FIELD]->(f) RETURN f.name;"
"What interfaces are in the 'endpoint' package?","MATCH (p:Package {name: 'endpoint'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Show the signature of 'handleRequest' in 'RequestHandler' interface.","MATCH (i:Interface {name: 'RequestHandler'})-[:HAS_METHOD]->(m:Method {name: 'handleRequest'}) RETURN m.signature;"
"Which classes have a name collision (same name, different package)?","MATCH (c1:Class), (c2:Class) WHERE c1.name = c2.name AND c1.package <> c2.package RETURN c1.name, c1.package, c2.package;"
"Find all methods whose name is a single character.","MATCH (m:Method) WHERE length(m.name) = 1 RETURN m.name, m.signature;"
"Get the file path for the 'LICENSE' file.","MATCH (f:File {path: 'LICENSE'}) RETURN f.path;"
"What does the 'main' method call?","MATCH (m:Method {signature: 'public static void main(String[] args)'})-[:CALLS]->(callee) RETURN callee.name;"
"Which methods are called by the constructor of 'Application'?","MATCH (m:Method {name: 'Application'})-[:CALLS]->(callee) RETURN callee.name;"
"Find all methods in 'Application'.","MATCH (c:Class {name: 'Application'})-[:HAS_METHOD]->(m) RETURN m.name;"
"Who calls 'run'?","MATCH (caller)-[:CALLS]->(m:Method {name: 'run'}) RETURN caller.name;"
"List the fields for 'AppContext' class.","MATCH (c:Class {name: 'AppContext'})-[:HAS_FIELD]->(f) RETURN f.name;"
"Find all interfaces in the main package.","MATCH (p:Package {name: 'com.myapp'})-[:CONTAINS]->(i:Interface) RETURN i.name;"
"Get the code for 'init' method.","MATCH (m:Method {name: 'init'}) RETURN m.code;"
"Which classes in the main package have fields?","MATCH (p:Package {name: 'com.myapp'})-[:CONTAINS]->(c:Class)-[:HAS_FIELD]->(f) RETURN DISTINCT c.name;"
"Show me all methods that return 'this'.","MATCH (m:Method) WHERE m.code CONTAINS 'return this;' RETURN m.signature;"
"What is the parent class of 'GenericServlet'?","MATCH (c:Class {name: 'GenericServlet'}) RETURN c.extension;"
"Find all classes that are part of the public API.","MATCH (c:Class) WHERE c.package STARTS WITH 'com.myapp.api' RETURN c.name;"
"List all methods in the 'HealthCheckController' class.","MATCH (c:Class {name: 'HealthCheckController'})-[:HAS_METHOD]->(m) RETURN m.signature;"
